FID,CRN,course_num,campus,credits,course_name,course_type,building,room_num,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,start,end,Time,size,max_size,instructor,OBJECTID,BIN,FCODE,ADDRESS,BASE_ELEVA,APPROX_HGT,MAX_HGT,PARCEL_ID_,PARCEL_I_1,Shape__Are,Shape__Len,landuse,Shape_Leng,Shape_Area
4965,50671,"PSY 8610, 001",Main,3,Topical Seminar in Organizational-Social,Class,Weiss Hall,711,No,Tuesday,Wednesday,No,No,No,No,02:00�PM,04:30�PM,Afternoon,9,20,Chelsea Helion (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7537,21621,"PSY 1002, 001",Main,1,Careers in Psychology,Class,Weiss Hall,0B035,No,Tuesday,No,No,No,No,No,02:00�PM,02:50�PM,Afternoon,32,35,Rani Vasudeva (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7542,40511,"PSY 1002, 006",Main,1,Careers in Psychology,Class,Weiss Hall,0B037,Monday,No,No,No,No,No,No,02:00�PM,02:50�PM,Afternoon,29,35,Dr. Kareem Johnson (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7551,21658,"PSY 1003, 008",Main,3,Statistics for Psychology,Laboratory,Weiss Hall,640,Monday,No,No,No,No,No,No,02:00�PM,02:50�PM,Afternoon,25,25,Melissa Auerbach (Primary) Joy Ham,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7541,23252,"PSY 1002, 005",Main,1,Careers in Psychology,Class,Weiss Hall,0B037,No,No,No,No,No,No,No,02:00�PM,02:50�PM,Afternoon,31,35,Dr. Kareem Johnson (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
91,21641,"PSY 3096, 002",Main,3,Conducting Psychological Research,Class,Weiss Hall,400,Monday,No,No,No,No,No,No,02:00�PM,02:50�PM,Afternoon,20,20,Catherine Blasi (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7555,21665,"PSY 1003, 012",Main,3,Statistics for Psychology,Lecture,Weiss Hall,0B032,Monday,No,No,No,No,No,No,02:00�PM,02:50�PM,Afternoon,20,25,Isabelle Chang (Primary) Grace Bennett-Pierre,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
3233,21443,"NSCI 3096, 001",Main,3,Conducting Neuroscience Research,Class,Weiss Hall,400,No,Tuesday,Wednesday,Thursday,No,No,No,02:00�PM,03:20�PM,Afternoon,20,20,Mansi Shah (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
4722,12203,"PSY 4696, 007",Main,3,Capstone in Psychology: The Present and Future of Psychological Science,Class,Weiss Hall,517,No,Tuesday,Wednesday,Thursday,No,No,No,02:00�PM,03:20�PM,Afternoon,20,20,Peter J. Marshall (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
1969,50322,"PSY 3304, 002",Main,3,"Personality, Social and Emotional Development",Class,Weiss Hall,0B037,Monday,No,No,No,Friday,No,No,03:00�PM,03:50�PM,Afternoon,31,40,Dr. Kareem Johnson (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
83,30149,"PSY 3003, 001",Main,3,Advanced Undergraduate Statistics,Class,Weiss Hall,517,Monday,No,No,No,No,No,No,03:00�PM,03:50�PM,Afternoon,19,20,Melinda Mattingly (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7552,21660,"PSY 1003, 009",Main,3,Statistics for Psychology,Laboratory,Weiss Hall,640,Monday,No,No,No,No,No,No,03:00�PM,03:50�PM,Afternoon,25,25,Melissa Auerbach (Primary) Joy Ham,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7540,23251,"PSY 1002, 004",Main,1,Careers in Psychology,Class,Weiss Hall,0B035,No,No,No,No,No,No,No,03:00�PM,03:50�PM,Afternoon,30,35,Sandra Sepulveda-Kozakowski (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
